,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr),Time
43,Titan Company,Diamond  &  Jewellery,813.0,12.05,1.5,72177.01,2020-03-24 15:03:37.435325
44,UltraTechCement,Cement,2996.9,-57.95,-1.9,86497.57,2020-03-24 15:03:37.435325
45,UPL,Pesticides & Agrochemicals,263.9,9.3,3.65,20163.16,2020-03-24 15:03:37.435325
46,Vedanta,Metals - Non Ferrous,62.9,0.25,0.4,23381.17,2020-03-24 15:03:37.435325
47,Wipro,IT Services & Consulting,176.3,6.15,3.61,100726.49,2020-03-24 15:03:37.435325
48,Yes Bank,Bank - Private,35.2,-4.55,-11.45,44177.66,2020-03-24 15:03:37.435325
49,Zee Entertain,TV Broadcasting & Software Production,118.65,-3.35,-2.75,11396.13,2020-03-24 15:03:37.435325
0,Adani Ports,Transport Infrastructure,230.45,22.65,10.9,46821.72,2020-03-24 15:04:38.816881
1,Asian Paints,Paints,1514.5,16.05,1.07,145270.51,2020-03-24 15:04:38.816881
2,Axis Bank,Bank - Private,300.75,-7.9,-2.56,84854.85,2020-03-24 15:04:38.816881
3,Bajaj Auto,Automobile - 2 & 3 Wheelers,1916.45,-19.1,-0.99,55455.74,2020-03-24 15:04:38.816881
4,Bajaj Finance,Finance - NBFC,2418.95,152.8,6.74,145545.58,2020-03-24 15:04:38.816881
5,Bajaj Finserv,Finance - Investment,4310.2,-310.85,-6.73,68591.35,2020-03-24 15:04:38.816881
6,Bharti Airtel,Telecommunication - Service Provider,403.8,-3.55,-0.87,220295.41,2020-03-24 15:04:38.816881
7,Bharti Infratel,Telecommunication - Equipment,140.45,-2.95,-2.06,25977.75,2020-03-24 15:04:38.816881
8,BPCL,Refineries,258.0,-11.35,-4.21,55966.72,2020-03-24 15:04:38.816881
9,Britannia,Consumer Food,2346.75,208.9,9.77,56431.9,2020-03-24 15:04:38.816881
10,Cipla,Pharmaceuticals & Drugs,373.25,-2.0,-0.53,30092.73,2020-03-24 15:04:38.816881
11,Coal India,Coal,127.55,-0.3,-0.23,78605.6,2020-03-24 15:04:38.816881
12,Dr Reddys Labs,Pharmaceuticals & Drugs,2852.15,83.75,3.03,47394.77,2020-03-24 15:04:38.816881
13,Eicher Motors,Automobile - LCVS/ HVCS,14330.25,624.35,4.56,39129.43,2020-03-24 15:04:38.816881
14,GAIL,Gas Distribution,76.2,-1.8,-2.31,34660.9,2020-03-24 15:04:38.816881
15,Grasim,Diversified,399.75,-33.5,-7.73,26295.51,2020-03-24 15:04:38.816881
16,HCL Tech,IT Services & Consulting,438.55,21.4,5.13,119007.78,2020-03-24 15:04:38.816881
17,HDFC,Finance - Housing,1505.85,-14.85,-0.98,260809.78,2020-03-24 15:04:38.816881
18,HDFC Bank,Bank - Private,755.65,-15.9,-2.06,414344.54,2020-03-24 15:04:38.816881
19,Hero Motocorp,Automobile - 2 & 3 Wheelers,1626.85,10.85,0.67,32494.6,2020-03-24 15:04:38.816881
20,Hindalco,Iron & Steel,88.25,0.35,0.4,19822.92,2020-03-24 15:04:38.816881
21,HUL,Household & Personal Products,2033.0,163.3,8.73,440108.12,2020-03-24 15:04:38.816881
22,ICICI Bank,Bank - Private,298.7,14.7,5.18,193333.25,2020-03-24 15:04:38.816881
23,IndusInd Bank,Bank - Private,306.7,-29.75,-8.84,21270.74,2020-03-24 15:04:38.816881
24,Infosys,IT Services & Consulting,585.25,58.8,11.17,249246.1,2020-03-24 15:04:38.816881
25,IOC,Refineries,79.55,-1.2,-1.49,74889.63,2020-03-24 15:04:38.816881
26,ITC,Cigarettes/Tobacco,148.05,-6.25,-4.05,181986.48,2020-03-24 15:04:38.816881
27,JSW Steel,Iron & Steel,147.75,3.35,2.32,35714.43,2020-03-24 15:04:38.816881
28,Kotak Mahindra,Bank - Private,1137.85,39.6,3.61,217610.0,2020-03-24 15:04:38.816881
29,Larsen,Engineering & Construction,701.0,-23.05,-3.18,98412.83,2020-03-24 15:04:38.816881
30,M&M,Automobile - Auto & Truck Manufacturers,264.75,-28.65,-9.76,32913.52,2020-03-24 15:04:38.816881
31,Maruti Suzuki,Automobile - Passenger Cars,4443.0,222.65,5.28,134214.17,2020-03-24 15:04:38.816881
32,Nestle,Consumer Food,13467.45,522.8,4.04,129847.38,2020-03-24 15:04:38.816881
33,NTPC,Power Generation/Distribution,76.55,0.15,0.2,75742.84,2020-03-24 15:04:38.816881
34,ONGC,Oil Exploration and Production,62.4,2.0,3.31,78500.94,2020-03-24 15:04:38.816881
